,0
45,Pt {3 of 3} #I #FUCKING #HATE #SPIDERS #Disgusted #TheNightmares #TheThoughts #Creepy #Arachnophobia #ImGonnaDie 😭 https://t.co/SBxrNBSFxq
46,Pt {2 of 3} #I #FUCKING #HATE #SPIDERS #PeterParker #Disgusting #Disturbed #Nightmares #NightCrawlers #8LeggetFreaks https://t.co/0Id2BHjegH
47,@Crystal_Cologne possibly the worst club and racist club I’ve ever come across. Rejected me and my friend for no re… https://t.co/es8fwMeQHl
48,@SethMacFarlane Well truly I feel  I don't care 🤷🏼‍♀️ you have other arteria motive's behind this #hate .. how abou… https://t.co/l22KeACVg6
49,Just heard the weather. Tonight Rain and Snow. But yeah it's ok to have people sleep in that. @tedwheeler… https://t.co/Xr3dHInMRM
50,What up. #TattooLove #TattooLife #DontChasePeopleChaseDreams #THC #420 #Love #Hate… https://t.co/wtA8ESRa3H
51,Daymare! #TattooLove #TattooLife #DontChasePeopleChaseDreams #THC #420 #Love #Hate… https://t.co/zDulZIquDo
52,@Cernovich Shhh that’s #CommonSense  the #left #hate that! #AfraidOfTruth https://t.co/rkMezYSZ4l
53,@phatsacophunk @andrerucker51 @summerfieldrjr @62WalterP @jpavlovic801 @DogsArUs @MamaRose2017 @IMAFOOLSTILL… https://t.co/D5rlcwrQE0
54, @Dyke67ny: State Hate: Bill making it legal to ban gays & lesbians from adopting passes in #Georgia https://t.co/biETgGUUHj #LGBT #Hate…
55,"""THE ASSASSIN'S ILLUSION"" An Essay About Pulse Nightclub Tragedy #lgbtq #violence #hate #acceptance #love #recovery… https://t.co/k3YCbSTaBR"
56,just when i start to #love that i #hate you...i start to hate that i love you.
57,Have I ever #stressed how much I #hate #Atlanta and the #AtlantaTraffic ??
58,@NRATV @DLoesch @CNN @CNN CREATES #HATE #CROOKEDNEWSNETWORK 🙊 yes they love the ratings they get with mass shootings & the Blame Game👀
59, @Dyke67ny: State Hate: Bill making it legal to ban gays & lesbians from adopting passes in #Georgia https://t.co/biETgGUUHj #LGBT #Hate…
60,"""Work it out"" new single off the project ""Going Places"" Check it out. Full video link in comments. #princesstiana o… https://t.co/2m9r1DOA3W"
61,It’s either you hate me or your love me. 🧟‍♀️ #hate #love #either @ Miami Florida https://t.co/HeJSPiVoVX
62,BEGONE THOT!!!!!!! #WhySatanKickedMeOut #satan #thot #begone #blocked #exposed #fake #FakeNews #facts… https://t.co/8oHlLIIkw9
63,"#tolerance #judgmental #hypocrisy #patience #hate #stigmastops #ShameOnYou #shame 
Not one of us is the rule agains… https://t.co/3eEmANLImx"
64,I don't have #time to #hate anybody. 😁♥no For real ..I really don't 😏 I'm too busy being being #happy finding… https://t.co/mUiv7qApPP
65, @Dyke67ny: State Hate: Bill making it legal to ban gays & lesbians from adopting passes in #Georgia https://t.co/biETgGUUHj #LGBT #Hate…
66,State Hate: Bill making it legal to ban gays & lesbians from adopting passes in #Georgia https://t.co/biETgGUUHj #LGBT #Hate #Adoptions
67,i haet it wen people use too maney #hashetags #amirite #hate #it #relateable #tei #tell #that
68, @NickCannon: JOIN ME @STOMPOutBullyng & Millions today on #BlockItOutDay. End #hate #homophobia #LGBTQdiscrimination #racism Create a c…
69,"@ChefSwaygo @loyal_vii Let this be a lesson to those of y'all who like to play them ""games""...smh 🤔😮😞 #Scandalous… https://t.co/hKoX9AlQbW"
70,Harvard University Christian group ‘forced out’ Bible study leader because she’s bisexual https://t.co/jf08wXbrZr @Harvard #LGBT #Hate
71,It’s great to see local businesses in the Pacific NW standing up to hate! Tweet us photos of your favorite local… https://t.co/6aTydJSgE5
72,.@TwitterSafety @TwitterSupport @jack WHY are u not doing your job to curb #abusive account @_achaean? They are cle… https://t.co/90fimhn7c4
73,.@TwitterSafety why do you allow & facilitate abusive tweets & #harassment from @_achaean? It is clearly set up to… https://t.co/KUxjZdYGaR
74, @tvmario: @Linashamy #Erdogan's Turkey acting by #Hate for #Kurds. So sad @Linashamy...
75,@TheSun @FELGTB @LGTBPSOE @maddow #TooBad 🌈 #children are born w/out #prejudice #bias #hate — each #learned… https://t.co/C2888RccXD
76,I need the sun now this isn't even a joke #summer #sun #belly #top #heat #hot #hate #winter https://t.co/g2GPdylFWk
77,Will Hatred End? #Spirituality #Hate https://t.co/F7CiPVOwcW
78,You'll get 10 Free Lyft rides w/ this code LyftLUSH #Hate going in cabs? #euphoric #riotous
79,"I #hate worthless ""insight""."
80," @itsmissq: If you don't #love her or #hate her yet you will. 
#YouTube Subscribe:  https://t.co/PjqUQLFxdZ

#MissQuantum #Christmas #Tr…"
81,Do U #hate your stretch marks? Check out this #DIY it'll help! https://t.co/vnRPTIaSBL #mommy #moms #follow #baby
82,"""THE ASSASSIN'S ILLUSION"" An Essay About Pulse Nightclub Tragedy #lgbtq #violence #hate #acceptance #love #recovery… https://t.co/1cwBz3V7az"
83,@dloesch1 entire body is drenched in the #BLOOD of tens of thousands at the hands of the #HATE GROUP @NRA!!!
84,"Stand up in the cold.

#drawing #desenho #expression #expressão #art #arte #anger #hate #fury… https://t.co/jOHuKwZ46B"
85, @WordSatSpangalo: Out Of The FRame -#love #hate #desire  #asmsg #ian1 #spub #iartg #kindle #ibooks #kobo #nd https://t.co/oW5tLZw8UJ htt…
86,Out Of The FRame -#love #hate #desire  #asmsg #ian1 #spub #iartg #kindle #ibooks #kobo #nd https://t.co/oW5tLZw8UJ https://t.co/sQwpnCN7ZS
87,"OUR CRISES-RIDDEN PLANET: If You're not Scared You Probably Aren't Listening.
https://t.co/6IXXWiqmOe… https://t.co/HihPQ3ZQOb"
88,#BrainHealth: major brain circuits/deep wiring for #Addiction #Fear #Hate #Labels #Blindness (inverse #Focus); can be put to better use
89,L.O.V.E & H.A.T.E are both 4 letters long but they weigh  differently to the heart. Hate is heavy on the heart. Lo… https://t.co/cV5AqRDgOK
90,SICK OF THIS COLD WEATHER...GIVE ME SOME SUN!!!!☀️☀️☀️☀️☀️ #summerneedstohurry #weather #annoyed #coldweather #Hate
91,The state of Illinois is one giant scam. I can’t renew my liscense because I’m not 21 so I have to have it expire… https://t.co/flSPQuTfjJ
92,@Rosie #Congratulations ! Because of you the #NRA just gained 3 new menbers from my household. When you say you… https://t.co/lgh9X875sn
93, @d101allen: @GOP @POTUS Your so called values are #Evil #Greed #Hate That Is Not Our Countries Values you buchbof #IdiotsInPowerByIdiots…
94,@GOP @POTUS Your so called values are #Evil #Greed #Hate That Is Not Our Countries Values you buchbof… https://t.co/zPKPWpNYEX
95,What the actual fuck California.... why is it so fuckkng cold now. ITS WINDY ASF OIT HERE. I HATE THIS. #weather #hate
96,My my my Rosie O’Donnell•@Rosie•Jealously is not an attractive quality•Oh I forgot you don’t have any qualities… https://t.co/ZsJFHwK0Tk
97,"Stop blaming #God.

#Violence 
#Hate 
#GunControl https://t.co/4DugarHjfA"
98, @allentien: #HumanReasoning #Politics #Hate: If you look up and read work from #WilfredBion a British psychoanalyst he makes a strong…
99, @Dyke67ny: Kansas Republicans declare ‘war’ on transgender people https://t.co/NB8T6jnNNX #Transgender #LGBT #Hate #Kansas
100,#HumanReasoning #Politics #Hate: If you look up and read work from #WilfredBion a British psychoanalyst he makes… https://t.co/1fWEQMDVdP
101,@Linashamy #Erdogan's Turkey acting by #Hate for #Kurds. So sad @Linashamy...
102, @Mother_Meera: If you #hate someone you cannot grow so you must change the hate into #love. If you have negative feelings you are not…
103,Do You #Hate That? https://t.co/DowuJ3ZwKV #BookBoost #words #thoughts #Humanity #prejudice #understanding #SNG https://t.co/UvkXG9cjwO
104,Andrew Sullivan: How Do We Cope With #Trump? When we are surrounded by emotionalism #tribalism #racism #bigotry… https://t.co/J1713ebGXk
105,"""THE ASSASSIN'S ILLUSION"" An Essay About Pulse Nightclub Tragedy #lgbtq #violence #hate #acceptance #love #recovery… https://t.co/oZqXOypReI"
106,#hate #crime #team secure 3 charges today for hate crime incidents. #welldoneteam! https://t.co/zBYyeAHbod
107,Been watching friends on Netflix for a while now and the more I watch I can’t stand Ross he is the most whiny chil… https://t.co/ik3ZXWheRo
108,My #Coworkers #hate it ❤ https://t.co/YXm1EGQAGu
109," @TweeSurfing: .@gauravkapur discusses #hate #speech & #freedom of #expression ""It's about degree of civility respect & debate. You can…"
110,@ShafPatel @realDonaldTrump Go spread your #HATE elsewhere!
111,Fuck Donald trump #trump #fuckdonald #funny #fuck #fucktrump #donald #notmypresident #booo #TrumpImpeachmentParty… https://t.co/DfNO45XmeE
112,A #good and #important #movie #LookWhosBack #Adolfhitler #Germany #hate #nazi It’s a #comedy movie but #irl it’s no… https://t.co/wsMzRZoiiH
113," @TweeSurfing: .@hankypanty #SorabhPant shares some #insight on receiving #hate on #Twitter ""It's rare for me to get constantly good feed…"
114,@AnthonySutch3 @PhilEhr As a resident of #Florida I am often appalled by the Politicians and LawEnforcement and th… https://t.co/IXwhCn7Eey
115,Some more #nyc #music for you. This #50 joint is 🔥🔥🔥🔥 for everyone who came up thru the #hate and negativity.… https://t.co/dadNgl6xqS
116,Some more #nyc #music for you. This #50 joint is 🔥🔥🔥🔥 for everyone who came up thru the #hate and negativity.… https://t.co/bGakpZkutt
117,#Democrats are the party of #Hate and destruction. They're harassing companies to boycott our Wonderful @NRA .who h… https://t.co/8HlrUeJnTE
118,"#insecurities brings #hate. 
Be comfortable in your own skin. 

#LoveYourself #BeYou"
119,@AP Too much #Hate
120,"This is what #israel is teaching kids today.
.
.
.
.
#jews #jewish #jude #IDF #jerusalem #FromIsraelWithLove… https://t.co/AHDY7EZ6f1"
121,"There are things in life that you love and hate at the same time. 🔥💯🍞
#love
#hate"
122,Jeremy #CHERRY says this isn't #FAIR... that a CHILD would so #HATE #GOD that she'd become a #TRANNY even turning… https://t.co/OYgVWA5SWw
123,Mother of slain teacher confronts NRA rep: Why are her son's unalienable rights less important?… https://t.co/8baBmC81mg
124," @Sketch9999: In case u missed it

The org. giving @IvankaTrump a #YUGE #ThankYou openly promotes #hate against #transkids & openly #lobb…"
125,"""THE ASSASSIN'S ILLUSION"" An Essay About Pulse Nightclub Tragedy #lgbtq #violence #hate #acceptance #love #recovery… https://t.co/Rs4Tz5s5Gy"
126,"Lemon... ""the truth will set u free but it'll piss u off... #Hate..."
127,"In case u missed it

The org. giving @IvankaTrump a #YUGE #ThankYou openly promotes #hate against #transkids & open… https://t.co/rO42uP6tff"
128,Teaser 3 #berkowitz #deathgrind #grindcore #VAG #brutality #prepare #hate #fastandloud #livemusic… https://t.co/GfEBzlOTkI
129,The longer I live the more I believe #more #hatred is never the #answer to #hate.
130, @Dyke67ny: Kansas Republicans declare ‘war’ on transgender people https://t.co/NB8T6jnNNX #Transgender #LGBT #Hate #Kansas
131,"I don't #Hate any particular race solely for the color of their skin.

But I will acknowledge #History 

#FactsMatter"
132,Blah Blah rainy!! Ugh!! #hate #ugh #rainydays https://t.co/6I9KmCdhyI
133,The #bots from #Russia (or maybe Yomama) are paying to promote their #hate and #antiAmerican rhetoric - and makin… https://t.co/Wfaz02o267
134,Do the Right Thing (6/10) Movie CLIP - #LOVE and #HATE (1989) HD https://t.co/GfFgLhoYw1 via @YouTube ~~~...right n… https://t.co/N3JRRBRbTN
135,"Seriously people should start introducing themselves by their genitalia like 
""hello im jenny and i have penis""
Bec… https://t.co/mJFBG14PRy"
136, @Dyke67ny: Kansas Republicans declare ‘war’ on transgender people https://t.co/NB8T6jnNNX #Transgender #LGBT #Hate #Kansas
137,@CryptoMichNL F.... you all hatersleave if you don’t care or appreciate  his work . #haters gonna #hate @MNPoppe  💫 https://t.co/5vDceqBUht
138,This is unethical insafians please stop it. #hate incites hate https://t.co/C4tLuJUFiW
139,@TRobinsonNewEra is a #violent #venomous individual who is #spewing #poison a #hate #groomer spreading #lies and a… https://t.co/BfzYIQQlqi
140,@leahmcelrath It's Extremely Frightening How Their Mind Works & How These Sick Individuals View Their Fellow Man.… https://t.co/1QJtmldk6j
141,"Throwing some hard #hate on #DaVinci and #Galileo and folks. You started shit!
The #industrialrevolution screwed so… https://t.co/bcQmK258KA"
142, @Dyke67ny: Kansas Republicans declare ‘war’ on transgender people https://t.co/NB8T6jnNNX #Transgender #LGBT #Hate #Kansas
143,Straight from #LebrialMentality #Hate #Shaming #HateShaming  If opposing views were said of #44 you were #Racist… https://t.co/oyL1liPRCQ
144,People that SEE YOU WITH YOUR HEADPHONES ON and still try and talk to you like GTFO 🙄 #hate!
145, @Dyke67ny: Kansas Republicans declare ‘war’ on transgender people https://t.co/NB8T6jnNNX #Transgender #LGBT #Hate #Kansas
146, @Dyke67ny: Kansas Republicans declare ‘war’ on transgender people https://t.co/NB8T6jnNNX #Transgender #LGBT #Hate #Kansas
147, @Dyke67ny: Kansas Republicans declare ‘war’ on transgender people https://t.co/NB8T6jnNNX #Transgender #LGBT #Hate #Kansas
148, @Dyke67ny: Kansas Republicans declare ‘war’ on transgender people https://t.co/NB8T6jnNNX #Transgender #LGBT #Hate #Kansas
149, @Dyke67ny: Kansas Republicans declare ‘war’ on transgender people https://t.co/NB8T6jnNNX #Transgender #LGBT #Hate #Kansas
150,Kansas Republicans declare ‘war’ on transgender people https://t.co/NB8T6jnNNX #Transgender #LGBT #Hate #Kansas
151,#writetip #Haters gonna #hate. #bestrong #beyourself #motivation #inspiration https://t.co/Qe9eFmZ9nc
152, @erezshek: #ComingOut of the closet I faced #hate #ignorance and what I call HOMO-FAUX-PRO-BIA. To me they were the worst. The ones wh…
153,The Big Difference Between the Ads People #Love and Ads People #Hate - @contently https://t.co/0TQxnXkyCK
154,@FedEx @LifeLineScreening @LifeLock @Simpisafe @Allied @MedicalConciegereNetwork.....U all support the #NRA!  W… https://t.co/yO3XWltpDh
155,The Big Difference Between the Ads People #Love and Ads People #Hate - @contently https://t.co/ityowZg3g5
156,"#Darkness cannot drive out darkness but #light can do so.

#Hate cannot drive out hate but #love can do so.… https://t.co/mV9PnN12fJ"
157,Watch: Sharks players playfully dump all over the City of Winnipeg #hate https://t.co/ZMYrsan8Ss
158,#NEWSFLASH #TVNEWS 🎶“#God I #hate those frickin’ #zombies. They keep #eating all my friends and #family.”🎶 Tune in… https://t.co/2ZaVtAkcBN
159,"""Hate (My Story)"" How do we forgive? #love #hate #forgiveness #recovery #mentalhealth #oktosay #lgbtq #karlyletomms… https://t.co/gne6aE6sWR"
160,You are not a #bestfriend if you both don't #hate each other when you#meet at the #first #time 😉
161, @HateCrimeTeam: #hate #crime #sgt today received refresher training on #ModernDaySlavery . Excellent session! #thanks & well done to tra…
162,Loads of snow due next week😔 NO!!! I'm so done with this cold winter ❄🍃 #winter #stvweather #snow #cold #hate
163,"Self-tape on the loo! This is new! It’s ok I’m waiting on a pregnancy test result!  

#actor #manchester… https://t.co/8CjpnT3sGi"
164,They miss the greatest commandment.  Read the blog post at https://t.co/jFffmlysWy  #Religion #Church #Love #Hate https://t.co/MY22HILFTq
165, @Gianulias: #MALAKA #soros #Hate #TRAITOR #SHOINGTHEMARKET #POS #LiberalLOSER #ANTIFA SUCKS #VOTERID https://t.co/R9elcayFAs
166, @SpecGhost: #Guidelines for countering #Online #HateSpeech.#Hater #Hate #Hejt #MowaNienawiści #Dziennikarstwo #Journalism #Media https:/…
167,The man is representing America people. What the hell have you done? #Trump #hate #idiot https://t.co/0vHCVbn84J
168,Disgusting human being who has no relationship with the truth. #Trump #ConMan #hate https://t.co/Tz5UybR69h
169, @SimonClaydon: Anyone else notice #Trump & #CPAC2018 using @RollingStones music to promote #Hate #GunViolence #Discrimination #ArmingTea…
170,It appears #logic and #commonsense are relative to one's #intelligence. A difference of #opinion is not #hate.… https://t.co/p0xVIPrLWW
171,Fun Fact: Feminism has never meant hating masculinity to me. I'm a gay male - I love men. I see power in both energ… https://t.co/FJzQRmr5s3
172,@NolteNC @CNN @jaketapper media circus is all CNN is. The #Hate and Divide they spew is really special.
173,Wow the amount of #Hate coming from #Twitter #Advertising is simply incredible. Blocking all #advertisement after… https://t.co/tpULLAxwla
174, @SimonClaydon: Anyone else notice #Trump & #CPAC2018 using @RollingStones music to promote #Hate #GunViolence #Discrimination #ArmingTea…
175, @atlantamcd: MSM you need to call out #CPAC2018 for what it is. A #hate group. #HateSpeech
176,@MiamiHerald People have way to much time on their hands. How can find the time to #hate? The worlds would be such… https://t.co/aZknM9rDpi
177,#fridayfeeling #FridayMotivation #FridayMorning Biggest lesson i ever learned is get rid of any #hate that you have in your heart and soul.
178," @neilinozone: the #NeverTrump never stop spewing their #hate...

#CPAC2018 #TheSnake https://t.co/q6KEtVzNZX"
179," @neilinozone: the #NeverTrump never stop spewing their #hate...

#CPAC2018 #TheSnake https://t.co/q6KEtVzNZX"
180,The number of #hate groups has increased across the United States https://t.co/wZtqYMCaZv #Florida @BrendaMedinar @MiamiHerald
181,I don’t #Hate #Uhuru #But… RAILA’s #Friend #Magufuli now #Confesses as the two #Meet in #KAMPALA to #Iron out… https://t.co/ANItBmCVB5
182,Hate: 2018's biggest trend introduced by a humanoid! 🤖 #advertising #creative #marketing #hateisso2018 #hate #2018… https://t.co/cPljmlShDj
183,@realDonaldTrump It’s sad that our president can’t even honor a great Christian leader with kind words without hate… https://t.co/S2OpdodPie
184, @atlantamcd: MSM you need to call out #CPAC2018 for what it is. A #hate group. #HateSpeech
185,"the #NeverTrump never stop spewing their #hate...

#CPAC2018 #TheSnake https://t.co/q6KEtVzNZX"
186,"#CNN breeds #hate with those rhat listen to their #fakenews biased against @realDonaldTrump 
#SupportNRA… https://t.co/M1R0jKhfz7"
187, @SimonClaydon: Anyone else notice #Trump & #CPAC2018 using @RollingStones music to promote #Hate #GunViolence #Discrimination #ArmingTea…
188,#fridayfeeling #staystrong #resist the #hate & #vote the creeps out! https://t.co/9bdAlBroZP
189,"""THE ASSASSIN'S ILLUSION"" An Essay About Pulse Nightclub Tragedy #lgbtq #violence #hate #acceptance #love #recovery… https://t.co/MwZJbsQu6H"
190," @TweeSurfing: .@hankypanty #SorabhPant shares some #insight on receiving #hate on #Twitter ""It's rare for me to get constantly good feed…"
191," @TweeSurfing: .@gauravkapur discusses #hate #speech & #freedom of #expression ""It's about degree of civility respect & debate. You can…"
192,"tybalt: 

i hate romeo. #hate"
193,In this time of crisis sadness & tragedy - #trolls prove again they never take time-off https://t.co/lK4yrRrGVU L… https://t.co/gPwUupNhPd
194,"New #Twitter Rules for #Fighting #Hate and #Abuse via https://t.co/oxaFRSdGh5 #news
#msnbc #wapo #nyt #wsj #bbc… https://t.co/oVFtRO81q5"
195, @SimonClaydon: Anyone else notice #Trump & #CPAC2018 using @RollingStones music to promote #Hate #GunViolence #Discrimination #ArmingTea…
196, @SimonClaydon: Anyone else notice #Trump & #CPAC2018 using @RollingStones music to promote #Hate #GunViolence #Discrimination #ArmingTea…
197,"""If it hasn’t happened to you yet consider yourself lucky. It’s not a matter of “if” it will happen but rather a… https://t.co/0zE3IpbtnG"
198,"I still get disturbed by few voices
#hate #them

~PN~"
199,Anyone else notice #Trump & #CPAC2018 using @RollingStones music to promote #Hate #GunViolence #Discrimination… https://t.co/Ldeq8IEGOL
200,@Keep2020Alive It's logical that #dumb #ignorant #Americans continue to entrust their lives to the #pyramidscheme… https://t.co/3m94KpGPI0
201,Tonight!!! #marqueetheater #cruemusuc #vn #cocmusic #fight #hate #beautiffullybroken https://t.co/KAPEeCAAMs
202,"Florida tragedy has exposed how extensive right wing madness is
This vile thing call Dana Losech
The disgusting dis… https://t.co/nO0JfW6Nti"
203,Tonight!!! #marqueetheater #cruemusuc #vn #cocmusic #fight #hate #beautiffullybroken https://t.co/KAPEeCSbE0
204,@JohnJHarwood And he hasn’t so far! Through thick and thin he’s fought to do what’s best for the American people! D… https://t.co/h56N9DrUJg
205,I HATE Instagram ads. #hate #instaads
206, @atlantamcd: MSM you need to call out #CPAC2018 for what it is. A #hate group. #HateSpeech
207,US Olympic skier Lindsey Vonn to Trump trolls: I never expected 'that much #hate' from fellow Americans -… https://t.co/18W7QYAFRr
208, @atlantamcd: MSM you need to call out #CPAC2018 for what it is. A #hate group. #HateSpeech
209,Live the life for urself dont #Sabotage others; cause u failed. Open ur own doors and stop walking into someone el… https://t.co/TV55X2OsEb
210,MSM you need to call out #CPAC2018 for what it is. A #hate group. #HateSpeech
211,@Alya_Plays_MSP 'Aha ive been there for 10000000 times #hate -.-'... Is that supposed to make sense? Why're you hat… https://t.co/Zcbh6gB6YC
212,Remember a Sikh man is brown skin in this #racist society why not have the #whiteman model your religious head wear… https://t.co/qoI8eUEoMC
213,@Ciphique_ aha ive been there for 10000000 times #hate -.-
214,Protect Dreamers & other immigrants from #Trump’s #hate. Add your name to the discharge petition to force a vote on… https://t.co/ILR8XHBwIq
215,This weather got everyone sick lol. #hate
216,@jamescharles *cough* YOU'RE NOT A GIRL AND THEY CAN BE BOYS WATCHING THIS SHIT #Hate
217, @Dyke67ny: US city faces lawsuit after banning Pride march https://t.co/2oUopubUm2 #Mississippi #Pride #LGBT #Hate
218, @Dyke67ny: US city faces lawsuit after banning Pride march https://t.co/2oUopubUm2 #Mississippi #Pride #LGBT #Hate
219,This is what #hate looks like. This is what the unregulated sale of #guns lookslike. This is what homegrown… https://t.co/0js9b7Sits
220,US city faces lawsuit after banning Pride march https://t.co/2oUopubUm2 #Mississippi #Pride #LGBT #Hate
221,@apostlelaurinda If they follow their Faith faithfully they have to be terrorist. They are COMMANDED to be terror… https://t.co/5G2rkGaRj3
222,Why exam are in the marriage season 😡😡😡😡😡😡 its so loud outside 😪😞 #hate marriage #hate-exam #hate people
223,True @RealMattCouch Insist we stop the #Hate in Politics.  Just fix the law and go forward.  Stop the Hate and the… https://t.co/lMLJQgS2Hp
224,Spoken like a troll Democrat with no heart. Hate will never help.  Hate and grudge shot killed the students because… https://t.co/DvWJgonZXe
225,@JTMann05 @ssstarr14 @realDonaldTrump Ssstar Party Of Hate? This Teacher Did Nothing To Help Nick Cruz For 3 Years… https://t.co/eqT3tUOXfL
226,@MicrobiomDigest …alas I offer #CassandrasPrayer: “I am #TrulyBlessed to be bestowed with #GreatGifts and yet com… https://t.co/DlM7nIJzoh
227,Out Of The FRame -#love #hate #desire  #asmsg #ian1 #spub #iartg #kindle #ibooks #kobo #nd https://t.co/7dcPvkye2V https://t.co/NrLdYvT68F
228,@AdedugbaTmbee @plateaupikin Oh he’s white? #Hate
