,0
17, @EmilysWins: I wrote this morning about my go to way to combat #anxiety and other related illnesses. Feel free to drop by and give it a…
18,"This is me just like you 
May not look like it but i do have •anxiety 
•sensory issues from time to time 
but i lov… https://t.co/232LqQ846s"
19, @thecupcakegirl8: I can't stop worrying about stupid things that are out of my control 😞 #Anxiety
20, @CharitySANE: What does #anxiety feel like to you?  if you can relate. Art by @LisaVertudaches. https://t.co/kgYMBWbVXC
21,South #Korea is a high-tech industrialized nation having joined the “trillion-dollar club” of world economies in 2… https://t.co/8bGJiGQK4C
22," @TThoughthackers: Be clear of what you want 
#PTSD #mentalhealth #PTSDChat #anxiety https://t.co/PeF81wIXHk"
23,"""I felt as if Debbie was a friend giving me tools to move out of the fog."" Lili https://t.co/xR3G2zNBi1… https://t.co/NsZRV7B7GG"
24, @CFTrustYouth: If you'd like to know more about the links between #cysticfibrosis and #depression or #anxiety check out the key findings…
25,"Be clear of what you want 
#PTSD #mentalhealth #PTSDChat #anxiety https://t.co/PeF81wIXHk"
26, @CharitySANE: What does #anxiety feel like to you?  if you can relate. Art by @LisaVertudaches. https://t.co/kgYMBWbVXC
27,Fly 🛩️ with your dog! Get a Travel ESA Letter here: https://t.co/LB01J6mAco #therapypet #mentalhealth #anxiety https://t.co/lzSvOphpPg
28, @AvalonCenterTN: How to recognize #anxiety in yourself and others. @AvalonCenterTN @2ndChanceTN https://t.co/HwIQpzD4Cn
29," @DollyIsJolly: Peaking into Twitter every couple seconds to see of @MelanieLBBH has tweeted.
#MM2ISCOMING
#MelanieMartinez
#mm2
#anxiety…"
30,Reminder: if you haven't left the house in a few days or seen other people and are feeling a spike in #depression o… https://t.co/NBR73uu9K9
31,A very unorthodox approach for ending #panic and #anxiety https://t.co/D2itGBax87 #Worry #Fears #Phobias
32, @depressed_agent: Truth? #depression #depressionquotes #Anxiety #anxietyproblems #stress #stressedout #AnxietyIn5Word https://t.co/S2BZr…
33, @depressed_agent: Trying. #depression #depressionquotes #Anxiety #anxietyproblems #stress #stressedout #AnxietyIn5Word #Myself https://t…
34, @depressed_agent: Death. #depression #depressionquotes #Anxiety #anxietyproblems #stress #stressedout #AnxietyIn5Words https://t.co/my3x…
35, @depressed_agent: Mind. #depression #depressionquotes #Anxiety #anxietyproblems #stress #stressedout #AnxietyIn5Words https://t.co/q0XZb…
36,Anxiety can proper suck sometimes #anxiety
37, @AvalonCenterTN: How to recognize #anxiety in yourself and others. @AvalonCenterTN @2ndChanceTN https://t.co/HwIQpzD4Cn
38, @drsilviafox: The first systematic review of interventions for #anxiety during #pregnancy confirms the efficacy of treatment. @drjulieb…
39,How To Beat #Stress With #Spirituality https://t.co/0s8SgnAULI #anxiety #meditation #mentalhealth #nature
40,https://t.co/KNFCMwYE1u. recoveryispossible #sober #soberlife #depression #sobermovement #soberissexy #partysober… https://t.co/v3QbTrRMu9
41,Sometimes I think about going out and getting a paying job to help me out while working towards my dream of getting… https://t.co/8A5wZNCLOe
42, @Teresa_Scaini: A+ parenting @ParentingSpot #Parenting #Kids #ParentingTips #ParentingAdvice #HealthyKids #Anxiety
43,A+ parenting @ParentingSpot #Parenting #Kids #ParentingTips #ParentingAdvice #HealthyKids #Anxiety
44,Mind Hacks to deal better with #anxiety and #worry.  https://t.co/CByPh6zp6G https://t.co/BD3nywxbBb
45," @CBC_Psychology: Untreated children with #anxiety disorders are at higher risk:
- to perform poorly in school 
- miss out on social expe…"
46,#ListeningNow in #Amazon: Beat #Anxiety Now (Anxiety Treatment With Music & 6hz Theta Waves) #DownloadNow… https://t.co/oK2dQOnrdW
47,The more U look for natural cures the more U find. EZ free guide to heal & vitalize ur life @ https://t.co/Ui6hg1Agzm #anxiety
48,22 Quick Tips to Change Your #Anxiety Forever | Psychology Today https://t.co/zSQEL625c8
49,Feeling lonely or just want to make new friends? Come join our free #disability & #NDIS community to chat in a tole… https://t.co/jLEGHIpjXG
50,Money expert Jordan Goodman @GoodmanJord chats with Dr. Bob about Financial Stress and your personal economy.… https://t.co/RXiOelmuwJ
51,Hate #Flying? Here Are 5 Tricks to Make It Easy (and Fun) https://t.co/SiL5L4B3MB #travel #anxiety https://t.co/ALpW3uTe8G
52,Still Awake #Depression #Anxiety #AKF #NoSleep #OverThinking https://t.co/Uo9UWCcvTA
53," @dlhampton: You can learn to build a happier brain.  https://t.co/UieYwuwV39 
#brain #happiness #mindfulness #depression #anxiety #menta…"
54, @drsilviafox: The first systematic review of interventions for #anxiety during #pregnancy confirms the efficacy of treatment. @drjulieb…
55,Okay. All you creepy weirdos on the light rail... Please stay far away from me. #Anxiety 🙄😬
56, @dlhampton: Don't let your amygdala run your life.  https://t.co/rJC0LnJGjh #fear #anxiety #depression #mentalhealth #worry https://t.co…
57, @dlhampton: How Listening To Music Benefits Your Brain https://t.co/fchRdPi37C #music #stress #anxiety #brain #ADHD #depression #ADD #au…
58," @dlhampton: Free Yourself From Mental Slavery https://t.co/IkXKJatvWL 
#mind #innercritic #mentalhealth #depression #anxiety #thoughts h…"
59, @dlhampton: You can beat #anxiety and #depression by using neuroplasticity to change your #brain. https://t.co/NZeRFnPHoe #mentalhealth…
60,An ordinary bottle of #water can help kids w #anger and #anxiety Activities for Angry Worried Kids… https://t.co/ZeiwMb5zR4
61, @dlhampton: Listening to #music is one of the few activities that stimulates the whole #brain.  #stress #anxiety #depression #ADHD #ment…
62," @dlhampton: ""Such an easy to understand read about some pretty complex topics."" https://t.co/oJddcCX7LU #depression #anxiety #selfhelp #…"
63, @NatRevNeurosci: '#Anxiety cells' — a population of hypothalamus-projecting hippocampal neurons — encode anxiogenic information and driv…
64,#bullying #depression #anxiety BULLY EPIDEMIC. #1 Cause is Sibling Abuse in the home. Relate? https://t.co/VKlAtSeO19
65,"Peaking into Twitter every couple seconds to see of @MelanieLBBH has tweeted.
#MM2ISCOMING
#MelanieMartinez
#mm2… https://t.co/lPhWHDWN5L"
66,Blue Monday https://t.co/0E9zjhH05n #anxiety #bluemonday #depression #difficulttimes #fight #growth #mentalhealth #motivation #strength
67,Oh hey there you are you lying bitch. #depression #anxiety
68, @zedtweetz: Fascinating talk today on #neoliberalism #academia and #anxiety by Dr. Lawrence Berg of @UBC. Thanks to Global Fridays @NBC…
69,Living with #Dissociation in Daily Life https://t.co/i8pwjFXZs6 #MentalHealth #treatment #ptsd #anxiety #cptsd
70,Another anxiety day I can't sleep 😕#anxiety
71, @intentinsights: Why #intervention is needed for kids showing signs of #childhood #anxiety? https://t.co/xDVwCcu7Xq https://t.co/nlxeNcd…
72,How #Aromatherapy Works on #Anxiety: View aTruly Helpful #Video Now - Learn https://t.co/dvAJy0CbhS… https://t.co/ccksaCMjs4
73," @dlhampton: The One Sure Way to Stop Anxious Depressing Thoughts https://t.co/6LPZ2rsEBF
#anxiety #depression #mind #thoughts #mentalhe…"
74,"Role of YOGA in STRESS Management and RELAXATION
https://t.co/2HZkEsSrhz
#health #yoga #stress #relaxation #anxiety… https://t.co/5QvwFo0Fkq"
75,@CBSBigBrother #ANXIETY Through the roof James & Omarosa?!?!
76,#ListeningNow in #Amazon: Beat #Anxiety Now (Anxiety Treatment With Music & 6hz Theta Waves) #DownloadNow… https://t.co/X2kiW1e5Ol
77, @sweetdreaming96: 6 Ways to Ease #Anxiety Symptoms Without Medication #mentalhealth https://t.co/1aHhbPFBf0 @sweetdreaming96
78,"In case you missed it check out ""Daily Routine: 5 Secrets of the Crunchy Super Mom"" https://t.co/oUYJRFlzo3… https://t.co/rfbxOd7gAV"
79,Mindful Breathing and ways to stayed grounded in the face of anxiety.  - #MentalHealth #Anxiety #anxious... https://t.co/vhkGP69GD4
80, @alexdaviespbts: From the Community: the best #mentalhealth posts from around the web! Check out this week's picks in #anxiety #depress…
81, @FindingRelief: Another part of #recovery from #anxiety & #depression is learning when to turn the news off because it's damaging to our…
82, @dackcounseling: Are you struggling with #anxiety? Do you feel unworthy/unhappy? Are you ready for #love? It would be an honor to suppor…
83,When #anxiety rules your life you never sleep just rest your eyes 😔
84,#anxiety is when you do a good thing but right after freak out that it was actually a bad thing and someone's gonn… https://t.co/t8XJeNRot8
85,Anyone else loathe shopping?? https://t.co/WixAvNTWdu #shopping #anxiety
86,Excellent #anxiety #blog: Overcoming Social Anxiety. https://t.co/ZBuPKp6WWE  #endthestigma #Pls https://t.co/k7X0L9lcDb
87,I can't stop worrying about stupid things that are out of my control 😞 #Anxiety
88,@TheLancet Another short term study ... I thought Paxil was wonderful until I hit poop out (tolerance) and went bat… https://t.co/QpKqOd8xjX
89,This younger generation has a better grasp and understanding of a lot of things. Definitely a better grasp on acceptance... #Anxiety
90, @FindingRelief: #Recovery isn't only about mitigating symptoms of #anxiety & #depression. It's also about creating the best life we can…
91,Why #intervention is needed for kids showing signs of #childhood #anxiety? https://t.co/xDVwCcu7Xq https://t.co/nlxeNcdHAJ
92,Needless worry can spur on #anxiety and throw your mental life off balance. Keep focused and maintain a positive th… https://t.co/qHkr4e13K8
93,Understanding Anxiety Symptoms in Children: https://t.co/cPEv7ivXMA #parenting #children #mentalhealth #anxiety #anxietyproblems
94,Tap into your inner Genie and Miracles. Tap out #stress fear and #anxiety. Learn how @ https://t.co/BenjVQ2Wkx
95,From the Community: the best #mentalhealth posts from around the web! Check out this week's picks in #anxiety… https://t.co/7OAB73w2t9
96,Anxiety before Surgery - Re-uploaded on my Channel  - #Anxiety #MentalHealth #Anxious https://t.co/fz9Jcrw56U
97," @officialdrfee: Check out my new article on decreasing your #stress & #anxiety by lowering your #media consumption.
#news #drfee
https:/…"
98,Not even antidepressants take my suicidal thoughts away . They just quiet them . I still think about it every day m… https://t.co/a0oa3p77Kc
99, @DrDeniseMD: Knowledge is power and #prevention! Read my post on #childhood #anxiety:https://t.co/ZlepxYhjEu… #anxiety #cbt #Mentalhealt…
100,How To Cope When Addiction Runs In The Family https://t.co/Hlmr2J5ph6 #recovery #addiction #Anxiety #Mindfulness… https://t.co/V34HWfXpNf
101,Out of curiosity: Do you find the autoplay feature when searching through the @netflix guide for shows or movies… https://t.co/hUnXV03q7c
102, @jkhanssteiner: Anxiety attack. Life changed for me in 25 minutes. https://t.co/fmFF9lHC4D #anxiety #stress https://t.co/WbqbcEqaT5
103,Guide To Reducing Stress With Meditation and Mi https://t.co/pTDv0lxCtJ #stress #Migraine #Headache #NeckPain… https://t.co/bTvpaPMcyX
104,@MSNBC A PLEA FROM A LOYAL VIEWER. Please stop showing clips of #trump!Paraphrase quote show written quotes. His… https://t.co/tyaV3gtEFH
105,7 Powerful Things Teachers Parents and Kids Are Doing to Prevent School Shootings https://t.co/kL4DPHzZIa @WAGV… https://t.co/mVeyFUE6W3
106,Fucking brain. Had a panic attack cos I gotta get rid of my old shit at home. Like I know its just junk but it's mine. #anxiety #hoarder
107,At the store heard @delilahradio tell a listener that anxiety cannot be healed but will be a part of their persona… https://t.co/1DF9HuRQE0
108, @jkhanssteiner: Anxiety attack. Life changed for me in 25 minutes. https://t.co/fmFF9lHC4D #anxiety #stress https://t.co/WbqbcEqaT5
109, @presidelife: Do not be afraid of the silence- #meditation #anxiety #loveyourself https://t.co/b6YI8kGnce
110, @presidelife: Do not be afraid of the silence- #meditation #anxiety #loveyourself https://t.co/b6YI8kGnce
111,It's 2.36am and I'm awake. Don't fucking know why. Kinda feels like it can't be tomorrow if I don't sleep. It also… https://t.co/dOnFkrVlNd
112, @wecounselling: The top #anxiety blogs of 2018 https://t.co/EZ6UrkY610
113,Anxiety attack. Life changed for me in 25 minutes. https://t.co/fmFF9lHC4D #anxiety #stress https://t.co/WbqbcEqaT5
114, @LeslieNichole8: In the archives: 5 Thinfs To Know About Anxiety https://t.co/Q8n12uisRL #anxiety #anxietyproblems #thegirlgang #Lifesty…
115,How To Blag Your Way Through A Job Interview... #Anxiety #blaganinterview #grossmisconduct #howtogetajob… https://t.co/9vi3TJswfE
116,Living with Dissociation in daily life - a personal account.  #Dissociation #Anxiety #MentalHealth https://t.co/FBazDWQ4ps
117,6 Tips to Help Your Children Overcome Worry https://t.co/uYiag3d3RJ #anxiety #stress #mindfulness #mentalhealth… https://t.co/poJui7m8HP
118,The top #anxiety blogs of 2018 https://t.co/EZ6UrkY610
119,Our latest podcast is here! #depression can be a convincing liar to us. Check out this weeks insightful and informa… https://t.co/ieQyutfzQs
120,😂 Sometimes! 😂 #me #overreacting #overreactingmuch #overreactingmom #life #dramaqueen #depression #anxiety… https://t.co/YWGsvmq6bq
121,"Best #EssentialOils for #Anxiety !!  
https://t.co/1ZYRAT28rx 
#Healthy #Happy #Peace !!  #AltWaysToHEAL !! https://t.co/Akh0V7eyl7"
122,Yep ... I refuse to open them but maybe I need to use this to practice anxiety exposure therapy #fears #anxiety… https://t.co/pGxiYbuntY
123,In @JCO_ASCO: To address major #distress in pts w new #cancer dx STREAM is an RCT of web-based cognitve behav+… https://t.co/k03wLppvHK
124,Anyone else have to change their text tone every few months because the old one starts to give u anxiety… https://t.co/YjluCtBXkg
125, @_susandaniels: Beautiful Lives by Susan. Together we light the way 🔥 https://t.co/1fdwy1KBpg 🌀Spirit 🔥Mind 🌿Body #anxiety #healing #emo…
126,Beautiful Lives by Susan. Together we light the way 🔥 https://t.co/1fdwy1KBpg 🌀Spirit 🔥Mind 🌿Body #anxiety #healing… https://t.co/dGtHp77fHu
127,"Finally got the so to try #Kratom for her #Anxiety 

It works. She likes it. Noticeably calms her down.

What a plant."
128,Fascinating talk today on #neoliberalism #academia and #anxiety by Dr. Lawrence Berg of @UBC. Thanks to Global Frid… https://t.co/UYSj17AgTI
129,PTSD from 3 tours in Afghanistan: Can GABA help with the anxiety? https://t.co/8v6BQHroM7 via @foodmoodexpert… https://t.co/fTOI6C9bKg
130,7 Powerful Things Teachers Parents and Kids Are Doing to Prevent School Shootings https://t.co/c8O1dFqvIN #socialanxiety #anxiety
131,10 reasons why we need to pay attention to anxiety levels https://t.co/YmoZ5GOHl8 #socialanxiety #anxiety
132,#Kids anxious upset because of #schoolshootings?  Practice  #kindness to defeat #anxiety hopelessness and give… https://t.co/y3FuvQhvnp
133,12:15 am #TheBipolarWriter #Poetry #anxiety #social anxiety https://t.co/MEVdf7CNg0 https://t.co/j4UYiMpXMp
134,I need to calm my breathing.. 😥 #ChestPains #Anxiety 💔
135,Anxiety affects 20% of the US population each year.  We all must act to safeguard our well-being.  Our products are… https://t.co/CHojwje8C4
136,#ptsd Thanks nra and GOP for lack of action. My anxiety has me having a severe panic attack. Now to go find a way t… https://t.co/174dqcgW7M
137,#Anxiety Apps https://t.co/KK7mY8137v
138," @ladyjourney_: A night of #Relaxation #detox and #anxiety relief. Soak for 1 hour in a Detox Tea Bath 🛀 TODAY for only $8.00 

Click the…"
139,Think differently about anxiety. #anxiety #mentalhealth https://t.co/e9Xes3OEv3
140,Is it OK for a Christian to take anti-depressants or other mental health medicines? #mentalhealth #anxiety… https://t.co/htjaN995YU
141,Love em!   #ptsdchat #suicide #insomnia #service #mentalhealth #veterans #antisocial #depression #military… https://t.co/N0ULwHuXcr
142, @NatRevNeurosci: '#Anxiety cells' — a population of hypothalamus-projecting hippocampal neurons — encode anxiogenic information and driv…
143,Amen!   #ptsdchat #suicide #insomnia #service #mentalhealth #veterans #antisocial #depression #military #survivor… https://t.co/Ywg9nI0z88
144,I will never feel ashamed of my PTSD again But I will try and work to erase all I can and learn to live happy and c… https://t.co/pXLF5Zx4cM
145," @ForeverFree3339: My #anxiety & #depression moods all in one day...
Also reminder; if you ever feel depressed anxious worried hopele…"
146," @waysforstress: How does being mindful manage stress?
https://t.co/xw7Aqw6PUo
#mindful #stress #anxiety #depression #nature #meditation…"
147," @waysforstress: How does being mindful manage stress?
https://t.co/xw7Aqw6PUo
#mindful #stress #anxiety #depression #nature #meditation…"
148,This is the moment you've waited for... it's finally here... villain against villain. Who. Will. Survive?… https://t.co/nLlyw4jYsP
149,Have you got the welcome mat out for anxiety? Is denying it really the right approach? #anxiety #mentalhealth… https://t.co/buUfgeox8A
150,"Learn how to manage #anxiety : In celebration of World Mental Health Day
https://t.co/TRnDKJ5wTw #stressmanagement https://t.co/DiCt3UiWg1"
151,You better believe it .  #ptsdchat #suicide #insomnia #service #mentalhealth #veterans #antisocial #depression… https://t.co/v7vWgn4l5q
152,Tritonal Discusses New Single 'Out My Mind' Overcoming Addiction and Anxiety #anxiety https://t.co/y0KcP8u4MT
153,8 PM Reminder: You are ok. You are safe. Don't panic. #anxiety #calm #panic
154,With #mentalhealth issues on the rise learn what services are available to help you or a loved one:… https://t.co/6MABWOhnCY
155, @CharitySANE: What does #anxiety feel like to you?  if you can relate. Art by @LisaVertudaches. https://t.co/kgYMBWbVXC
156, @mahliaamatina: 'It oscillates and moves unpredictable' – this painting depicts #anxiety and is one of the key #traits picked up on and…
157,Your men and women that are willing to give all deserve respect and love.   #ptsdchat #suicide #insomnia #service… https://t.co/m4hvK8VCDr
158,Been in the middle of a #panicattack for about 30 min. I really need to get a handle on self-soothing. #Anxiety can… https://t.co/lbDcSM9yYb
159, @ArkRevner: Does this feeling ever hit you far harder than it should? #comic #anxiety #depression https://t.co/XkqMFWklok
160,https://t.co/pNVjjM3bTG  for info! I CAN HELP! #pain #energy #sleep #anxiety #depression #panicattack #seizures… https://t.co/fVwjZHYTbA
161, 6 Ways to Ease #Anxiety Symptoms Without Medication #mentalhealth  https://t.co/GA7CAiCKuB … @sweetdreaming96
162,Mums and Mental Health - A New Post Series. https://t.co/HiMvgn8qnE #anxiety #mentalhealth #mumsandmentalhealth #parenting
163, @CharitySANE: What does #anxiety feel like to you?  if you can relate. Art by @LisaVertudaches. https://t.co/kgYMBWbVXC
164, @CharitySANE: What does #anxiety feel like to you?  if you can relate. Art by @LisaVertudaches. https://t.co/kgYMBWbVXC
165,@molly_knight My #Stress #Anxiety #Depression Facebook posts...#Guilt #Hopelessness #Fear or #Fears etc...just… https://t.co/L7GeUGs57m
166,It was fixed for approx 10 seconds and broke again. #anxiety
167,@Anime4humanity a charity that uses #Anime & #gaming for #depression #anxiety #suicide #mentalhealth launched a new… https://t.co/6szYSRrHMv
168,Top tips to help kids with test #anxiety. Parent Nation https://t.co/1tFleACrJG
169,Like seriously I'm sitting with people who are just being negative about things and it's giving me #anxiety. Can w… https://t.co/MkJYGFNP5t
170,Linger Longer. A poem. https://t.co/aSwbBc6m82 via @SteveStillStand #poem #poetry #depression #anxiety #mentalhealth
171,I used to think knollage was power untill learnt to much about #anxiety now I'm all in a mess & need help 😯 #anxiety is horrible.
172,#Lavender: The Health Benefits - Fight #Anxiety & More #MentalHealth #Sleep #Stress #HealthFitness #QuickReads https://t.co/s0imXcx6Qf
173,#bullying #depression # #anxiety ARE YOU DISPUTED 4 Sibling Abuse in Your Childhood? Recovery is Possible.… https://t.co/W8DFt9vnq9
174,"#anxiety

Out of everything to have in life why must this be the thing I have the most of? 

Trying to sleep befor… https://t.co/rsKOeFMgdE"
175," @PaleoHacks: This Mental Trick Is Scientifically Proven To Reduce #Anxiety 
https://t.co/g3Z6lstNrr https://t.co/WZPygkqH95"
176, @SarahSoNovel: @writesinLA @SCBWISOCALLA #KTChat I have the most #anxiety when I'm finishing a project. Because that is the point where…
177, @DrDeniseMD: Knowledge is power and #prevention! Read my post on #childhood #anxiety:https://t.co/ZlepxYhjEu… #anxiety #cbt #Mentalhealt…
178,Help is available for #depression #anxiety and #insomnia. The device is FDA approved and comes with a 30-day mone… https://t.co/W0k6mT5FJV
179, @socialanxietygo: Goodman Theatre cast brings A game to soccer-centered 'The Wolves' https://t.co/A7DTPX9ena #socialanxiety #anxiety
180,I can’t cope if another person tells me how expensive Zurich is #anxiety
181,I got a promotion at work which was cool but all of a sudden I was the boss - the target 🎯 and all my old #anxiety… https://t.co/RG2eHw4qvs
182,20 'Harmless' Comments That Actually Hurt People With #Anxiety. Call 0800 132 737 for support and advice. rb https://t.co/Kv5UscB2ox
183, @DrDeniseMD: Knowledge is power and #prevention! Read my post on #childhood #anxiety:https://t.co/ZlepxYhjEu… #anxiety #cbt #Mentalhealt…
184," @SheldonWillColl: Student Anxiety - Presentation for Parents by Dr. Bruce Gordon
February 27 - 7:00 pm #anxiety #presentation https://t.…"
185,NEW !! **Learn more about Visualizing Connections between Thoughts Emotions and Behaviors** #bpd #emotion… https://t.co/Mt1Wyugpet
186,@caroramsey True doing this with Cerebral Palsy is TOUGH... Sometimes w/ my Anxiety its like having a TV in my head… https://t.co/ImEqpI8MI9
187,A writer's life can be overwhelming -- even if you're getting paid to write (not to mention the stress that goes wi… https://t.co/7VcD3L6MPe
188,Fuck #pcos. Fuck #anxiety.
189,@writesinLA @SCBWISOCALLA #KTChat I have the most #anxiety when I'm finishing a project. Because that is the point… https://t.co/VjcaACPFAg
190,Threats to Chicago area schools cancel classes fuel anxiety https://t.co/ce4BRjIHbP #socialanxiety #anxiety
191,Goodman Theatre cast brings A game to soccer-centered 'The Wolves' https://t.co/A7DTPX9ena #socialanxiety #anxiety
192,Thank god yesterday is over. Probably the most shittest birthday ever #loneliness #depression #anxiety #norealfriends #sleep
193,All is well and settled. Maybe my headache will go away around mid-March. #anxiety #stress
194, @depressed_agent: Question. #depression #depressionquotes #Anxiety #anxietyproblems #stress #stressedout #AnxietyIn5Words https://t.co/I…
195,Teachers @westwindwaves braved the snow to attend a workshop on “Anxiety in the classroom”. Thank you for having me… https://t.co/WfzOKdGAwr
196,What Does It Mean When 8-10% of School Absenteeism Is Due to Child Anxiety? https://t.co/9FT1WVyIDQ #mentalhealth… https://t.co/iEfqZFUDBY
197,#MentalHealthAwareness Benzos are deadly. #BigPharma has created generations of drug addicts. After benzos almost k… https://t.co/q4bXUnZsLG
198,🌿CBD Hemp Oil Products🛍 🆕100% U.S. Grown & Processed Hemp Products 🤒- Health 👩- Anti-Aging 🍎- Nutrition 🐕- Pets & m… https://t.co/3rZbi00quK
199,#goldiehawn @goldiehawn capturing our hearts #today at @Wisdom2conf  & inspiring all schools to take up… https://t.co/sOLtvSzvLS
200,Absolutely one of the best ways to deal with my anxiety and many other issues.  #talkworks #mantras #anxiety... https://t.co/BwG4q7Uqep
201,"These new medication side effects got me like...
#PTSD #insomnia #mentalillness #depression #anxiety #BPD https://t.co/NpRDOgEnJY"
202,Need help with your mental illness but can’t see a therapist? We’ve got you covered. Check out these alternative m… https://t.co/HRQuyVmpBf
203,"""Tension is who you think you should be
Relaxation is who you are""
-Chinese Proverb
https://t.co/X6S44wQOl9… https://t.co/wupAt5gAnj"
204,"#HerbalRemedies For #Anxiety That Work! - 
https://t.co/AUHOvQtdKA 
#AltWaysToHeal #Healthy #Happy #Healing #Peace ! https://t.co/3RPFmAIwMj"
205,Evaluate anxiety level of your child: online screening test https://t.co/snbW5c3GI1 #anxiety #ADHD #parenting #mentalhealth
206,Coloring is not just for kids. This and other focused creative activities has shown to help relieve symptoms of… https://t.co/hGnQMx7aQj
207,"""This efficiency is because you’ve relieved yourself of much of the weight that bogs you down.""… https://t.co/xl1Q10Kbc0"
208,"The latest issue of JCP is online now! Check out the Table of Contents here: https://t.co/QGgPIQYlfx 
#MDD #rTMS… https://t.co/N7fn9tatMV"
209,#Anxiety can cause physical #symptoms such as a spike in blood pressure irregular heartbeat nausea & headaches https://t.co/eDhYV2sxMK
210,"Listen to our episode about VALENTINE'S DAY LONELINESS with some awesome guests!

Tune in at… https://t.co/m1BcTb0EG0"
211,My latest post is here! Why not take a look? Following the topic of #MedsWorkedForMe I look into both sides of the… https://t.co/ZgJZPmTdBK
212," @emflorenceblog: 'Sorry I'm Late' - Morning routine feat #Anxiety ❤️
https://t.co/dMm0YzUxgG ❤️ @FemaleBlogger #thegirlgang #bloggerst…"
213,Lose #anger #anxiety #depression #meditation #healing https://t.co/Ybu52020hO
214,"'Sorry I'm Late' - Morning routine feat #Anxiety ❤️
https://t.co/dMm0YzUxgG ❤️ @FemaleBlogger #thegirlgang… https://t.co/Iz65rovgU5"
215, @DrDeniseMD: Knowledge is power and #prevention! Read my post on #childhood #anxiety:https://t.co/ZlepxYhjEu… #anxiety #cbt #Mentalhealt…
216,Relaxation techniques to help you destress https://t.co/2k12cy1osL #anxiety #mentalhealth
217, @CharitySANE: What does #anxiety feel like to you?  if you can relate. Art by @LisaVertudaches. https://t.co/kgYMBWbVXC
218, @sweetdreaming96: 6 Ways to Ease #Anxiety Symptoms Without Medication #mentalhealth https://t.co/1aHhbPFBf0 @sweetdreaming96
219,I guess people think I like to be alone but I hate it it's not a case of like it it's a case of feel I have to i… https://t.co/TH0FJYXSaz
220,Currently pacing in the dark on the street in front of my house scream crying with brief periods where I go in and… https://t.co/16M5sFErWu
221,Today was a good day short shift because no #anxiety no #pain I actually feel happy 😃
222,Mild #depression. Situational depression. #Anxiety. These don’t seem… https://t.co/oIBdlXjVmA
223, @ExpertShrink: For people with severe health #Anxiety the Internet can be a terrible place. Here's why. https://t.co/aEL7yO3LSE https:/…
224, @JodiAman: You CAN Heal #Anxiety. Get the tools you need. Practice. #YouGotThis. https://t.co/0FkSHWFAod  #TipsAndTricks #selfhelp #newb…
225,"✨Today's featured #fidget ✨- ☎️Telephone Cord Bracelets 🖐️
💰Use code SOCIAL10 for 10% off! 💰
#HappyHandsToys… https://t.co/RUOPZIo9oz"
226," @antsared: A depth 
I don't 
know 
I will try 
to explain.

#hangtenstories #depression #MentalHealthMatters #anxiety #micropoetry #poe…"
227,The complicated relationship between #anxiety and #depression #psychiatry https://t.co/C6Q7x6sSt0 https://t.co/0BExw5E2LA
228,Before my girlfriend i didnt understand much about anxiety and depression. Ive learned a lot about how it affects… https://t.co/dEM66n7YeC
